Ground truth,Model Predictions
0.7917,0.47441775
0.7941,0.4744649
0.7935,0.47494125
0.7954,0.4749241
0.7751,0.47498304
0.7622,0.47316498
0.7583,0.47114474
0.7605,0.4706601
0.7635,0.47083676
0.766,0.4708035
0.7685,0.47096992
0.7702,0.47127813
0.7735,0.47147912
0.7655,0.47180182
0.7665,0.47105134
0.7575,0.4708097
0.7545,0.47016358
0.7493,0.4695151
0.7521,0.46894515
0.7521,0.46907562
0.7457,0.4691049
0.75,0.46834219
0.7567,0.46848702
0.7595,0.4694361
0.7586,0.46976578
0.7646,0.46952665
0.7652,0.4702084
0.765,0.47060907
0.7605,0.47048104
0.7601,0.4700668
0.7635,0.46999866
0.7596,0.47041065
0.7585,0.4701274
0.7611,0.46977127
0.7596,0.47011995
0.7607,0.4701228
0.7607,0.47001266
0.758,0.47010374
0.761,0.46985108
0.7635,0.47000462
0.7563,0.4704414
0.7536,0.4697305
0.7549,0.46914166
0.7565,0.469405
0.752,0.46960413
0.7504,0.4690234
0.7474,0.46869552
0.7469,0.4684822
0.7452,0.46830714
0.7471,0.46806043
0.7523,0.46814203
0.7548,0.46870047
0.7561,0.46907765
0.7605,0.4691797
0.7669,0.46967888
0.765,0.4705451
0.765,0.47050983
0.763,0.47038543
0.7643,0.4703803
0.7663,0.47052467
0.7663,0.47076845
0.765,0.47083938
0.7654,0.47068912
0.7653,0.47074944
0.77,0.47082227
0.7732,0.47123885
0.7705,0.47171634
0.7655,0.4714926
0.7663,0.47088844
0.766,0.47095078
0.756,0.47104728
0.7503,0.46991897
0.75,0.46896893
0.7457,0.46897382
0.752,0.46854103
0.7552,0.4687646
0.7546,0.46932983
0.7565,0.4692242
0.7577,0.46927845
0.7585,0.46960074
0.7587,0.4696563
0.76,0.46964192
0.7669,0.4698333
0.7645,0.47058648
0.7625,0.47060704
0.7617,0.4702227
0.7605,0.47021472
0.764,0.47020102
0.764,0.47042543
0.7653,0.47055954
0.7623,0.47063786
0.7668,0.4704098
0.766,0.47079754
0.772,0.4709192
0.7678,0.47138017
0.7693,0.47119677
0.7676,0.47116506
0.771,0.47116977
0.7718,0.4714716
0.7775,0.4716375
0.7725,0.47219563
0.7751,0.47192723
0.774,0.47195762
0.7743,0.47211128
0.775,0.47207767
0.7756,0.47210693
0.7792,0.47225356
0.784,0.47262448
0.7833,0.47322917
0.7901,0.47330427
0.7852,0.47388285
0.7851,0.47377956
0.7846,0.47351676
0.7875,0.47359657
0.7853,0.47396094
0.7916,0.4737677
0.7964,0.4742903
0.7974,0.47509515
0.799,0.47526205
0.7974,0.47538704
0.8025,0.47542274
0.8066,0.47590756
0.7965,0.47653162
0.7913,0.47563958
0.7804,0.4747259
0.7815,0.4738155
0.7899,0.47358638
0.7915,0.4744298
0.7819,0.4747519
0.7838,0.4735608
0.7839,0.47350347
0.7858,0.47389334
0.7859,0.4738449
0.7792,0.47374463
0.7897,0.47313643
0.7916,0.47395903
0.7938,0.47467542
0.794,0.47468215
0.7859,0.47471
0.785,0.47413164
0.79,0.47374058
0.7925,0.47436887
0.7953,0.47476506
0.7992,0.4748897
0.7977,0.47544646
0.8025,0.47551018
0.8061,0.4758668
0.8071,0.47648555
0.8045,0.47666103
0.807,0.47639638
0.808,0.47668958
0.8162,0.4770049
0.8205,0.47776884
0.8293,0.47850722
0.833,0.47955018
0.8311,0.48033065
0.8302,0.48029017
0.8325,0.48017764
0.8168,0.48060697
0.816,0.47906977
0.8147,0.47831595
0.8278,0.4785692
0.8237,0.47985345
0.8208,0.4797244
0.8123,0.47902524
0.817,0.47820485
0.8187,0.4785248
0.821,0.47886616
0.8267,0.47892296
0.8316,0.4795797
0.8335,0.48042303
0.8291,0.48074794
0.8266,0.48029047
0.8288,0.47993612
0.8315,0.48022866
0.8303,0.4806593
0.831,0.4805382
0.8267,0.48055953
0.8254,0.480249
0.8311,0.479927
0.8298,0.4805585
0.832,0.48064685
0.833,0.48062927
0.8351,0.480923
0.8337,0.48123336
0.8265,0.48109227
0.814,0.48025018
0.8183,0.47867763
0.7888,0.47879338
0.787,0.47617036
0.7775,0.47456998
0.769,0.47402227
0.782,0.47269636
0.782,0.47330564
0.778,0.47391427
0.7804,0.4729854
0.7833,0.4729401
0.7812,0.473621
0.7835,0.47321802
0.7821,0.47321665
0.7848,0.473311
0.7837,0.47349
0.7765,0.4735033
0.782,0.47273934
0.787,0.47303653
0.7785,0.47392058
0.7781,0.47306186
0.7794,0.47254455
0.7725,0.47302318
0.7707,0.4723547
0.772,0.47169954
0.7635,0.47196037
0.7653,0.47115517
0.7635,0.47084093
0.7658,0.47091216
0.7663,0.4709586
0.7684,0.47095942
0.7691,0.47118682
0.7722,0.47128224
0.774,0.4715894
0.7768,0.47188485
0.7773,0.47217917
0.7692,0.47234273
0.77,0.47157252
0.7735,0.47140676
0.7667,0.47199225
0.7677,0.47136307
0.766,0.47102964
0.7581,0.47114652
0.7675,0.4702741
0.766,0.4707994
0.7701,0.47117794
0.771,0.47121918
0.7734,0.47143418
0.773,0.4718222
0.774,0.47178543
0.774,0.47188294
0.7675,0.47196925
0.77,0.47132158
0.772,0.47136927
0.7735,0.47181016
0.7784,0.47193724
0.7793,0.47235894
0.7775,0.47270727
0.7785,0.47250044
0.7728,0.47255713
0.7733,0.47215146
0.7728,0.47193813
0.7765,0.47201127
0.781,0.47235072
0.7889,0.4728607
0.7817,0.47377712
0.7778,0.473293
0.782,0.47257406
0.7841,0.47312158
0.7787,0.47358263
0.776,0.47285557
