Ground truth,Model Predictions,Linear Reg
0.848464,0.7170737,0.8324814
0.847242,0.7170658,0.83171844
0.850557,0.7170401,0.829216
0.849329,0.71699286,0.8246155
0.860363,0.71702754,0.8279953
0.862589,0.71711534,0.8365326
0.865276,0.7171148,0.8364868
0.866176,0.7170901,0.8340759
0.869716,0.7171257,0.8375473
0.870095,0.7171586,0.840744
0.872372,0.7172269,0.84739685
0.878426,0.7172608,0.8506851
0.878194,0.7173108,0.8555527
0.872905,0.7173305,0.8574753
0.871308,0.71736616,0.86094666
0.873744,0.71737975,0.86226654
0.874126,0.71742916,0.86707306
0.874891,0.7174529,0.86938477
0.87222,0.71744347,0.86846924
0.851136,0.71742797,0.8669586
0.84674,0.71745294,0.8693924
0.842389,0.7174756,0.87158966
0.841822,0.71747726,0.8717575
0.843313,0.71745265,0.8693619
0.843313,0.7173991,0.864151
0.838715,0.71730614,0.85510254
0.849979,0.7172977,0.85427856
0.864528,0.7173019,0.85469055
0.872905,0.7172739,0.85196686
0.875427,0.71724266,0.8489227
0.877809,0.7172255,0.8472519
0.877809,0.7171916,0.843956
0.874661,0.7172638,0.85098267
0.879894,0.71731687,0.85614777
0.882457,0.717326,0.8570328
0.880669,0.7173417,0.8585663
0.868659,0.7173741,0.8617172
0.870398,0.71738887,0.86315155
0.870398,0.7174308,0.8672333
0.86881,0.7174989,0.8738632
0.882613,0.71750784,0.874733
0.884095,0.71747583,0.87161255
0.892937,0.71744955,0.8690567
0.894534,0.7174696,0.8710098
0.893975,0.71748155,0.8721695
0.89531,0.7174916,0.8731537
0.90258,0.7175487,0.8787079
0.900901,0.71756214,0.8800125
0.893655,0.7175536,0.87918854
0.900901,0.717574,0.8811722
0.903098,0.71759677,0.8833847
0.905059,0.7176268,0.88630676
0.905305,0.71768075,0.8915558
0.911328,0.71766645,0.89016724
0.913826,0.71767765,0.89125824
0.915248,0.717733,0.8966446
0.914328,0.717745,0.8978119
0.915667,0.7177416,0.8974762
0.916338,0.717775,0.9007263
0.91878,0.71781,0.90413666
0.916003,0.71780276,0.90343475
0.908513,0.71782124,0.90522766
0.8992,0.71783334,0.9064102
0.894534,0.7178588,0.90888214
0.896379,0.71786976,0.90995026
0.893017,0.71787924,0.9108734
0.895255,0.71784925,0.907959
0.89815,0.71780545,0.90369415
0.907441,0.7177781,0.9010315
0.901226,0.71777356,0.900589
0.891742,0.7177699,0.90023804
0.890789,0.7177468,0.89798737
0.894374,0.71775186,0.89847565
0.887626,0.7177568,0.8989563
0.890076,0.71773577,0.8969116
0.884251,0.71767306,0.8908081
0.88098,0.7176575,0.8892975
0.88739,0.7176732,0.89082336
0.897263,0.7176892,0.89237976
0.899038,0.71764565,0.8881378
0.897827,0.7176492,0.88848877
0.893735,0.71762073,0.8857193
0.890393,0.7176086,0.88453674
0.908265,0.71765214,0.88877106
0.908843,0.71768826,0.8922882
0.915919,0.7176481,0.88838196
0.915667,0.7176309,0.8867111
0.91659,0.7176433,0.88791656
0.917095,0.71767527,0.8910217
0.913325,0.7177657,0.89982605
0.917684,0.71778363,0.90156555
0.923617,0.71779144,0.9023285
0.925583,0.7178116,0.90428925
0.925754,0.7178173,0.9048462
0.925754,0.71781737,0.9048538
0.934492,0.7178687,0.90984344
0.943396,0.7179022,0.9131088
0.939761,0.71794367,0.9171448
0.933968,0.71793383,0.9161835
0.938527,0.7179424,0.9170227
0.93791,0.7179874,0.921402
0.93791,0.718033,0.92583466
0.947598,0.7180523,0.9277191
0.94697,0.7180365,0.92617035
0.953471,0.7180414,0.92665863
0.95338,0.71808374,0.9307709
0.957671,0.7180974,0.9320984
0.959233,0.71811676,0.9339905
0.958313,0.7181791,0.94005585
0.963298,0.7181769,0.9398422
0.968054,0.7181842,0.9405441
0.969932,0.7182166,0.9437027
0.964692,0.71823615,0.9456024
0.971345,0.7182499,0.9469452
0.973047,0.71828806,0.9506607
0.971817,0.7183234,0.95409393
0.966464,0.7183533,0.95700073
0.968804,0.7183502,0.9567032
0.976849,0.71836096,0.9577484
0.980008,0.7184076,0.9622879
0.984931,0.7184071,0.9622421
0.986193,0.71839154,0.9607239
0.986193,0.71840245,0.96178436
0.984931,0.71844846,0.9662628
0.984252,0.71847636,0.9689789
0.992162,0.7184957,0.97086334
0.992851,0.71851045,0.97229767
0.990491,0.71852183,0.97340393
0.987947,0.71851337,0.97257996
0.987947,0.71853286,0.9744797
0.990982,0.7185747,0.9785538
0.973331,0.7186102,0.9820099
0.986096,0.7186082,0.9818115
0.97924,0.7185894,0.97998047
0.979432,0.7186052,0.9815216
0.982898,0.7185942,0.98044586
0.978378,0.71858454,0.97950745
0.991277,0.71854943,0.9760895
