Ground truth,Model Predictions,Linear Reg
11.715004,6.250238,11.324249
12.948162,5.976075,10.901724
11.509477,6.3834662,11.529573
10.892898,5.991732,10.925854
9.248687,5.828923,10.674942
8.4950905,5.1680613,9.656458
8.084037,4.672485,8.892704
8.12971,4.249409,8.240683
6.0287733,4.1760693,8.127655
3.7908196,3.3241882,6.8147836
2.1009362,2.2988768,5.2346306
1.3930122,0.82546806,2.9638946
1.1418132,-0.0018072963,1.6889437
2.4434803,-0.12693532,1.4961034
6.0516095,-0.024373773,1.6541655
14.067138,2.9348004,6.2146807
11.463804,6.6193075,11.893038
11.555149,5.705632,10.484932
12.4686,6.3684063,11.506363
11.372459,6.60476,11.870619
9.477049,5.7746973,10.591372
8.67778,5.090602,9.537083
8.42658,4.9267983,9.284637
6.9878964,4.491893,8.614386
6.2343,3.7093072,7.4083076
5.7775745,3.3421843,6.842518
6.0287733,2.9808893,6.2857103
4.224709,2.9043021,6.1676784
2.6718428,1.9888692,4.7568636
1.5071933,0.9970689,3.2283564
1.0276319,0.19553122,1.993071
1.1418132,-0.09042413,1.5523725
2.4663165,-0.12239726,1.5030972
6.0516095,0.14180428,1.91027
12.9938345,3.625558,7.2792377
11.715004,6.1654253,11.193541
12.811144,5.8547406,10.714731
11.8291855,6.750583,12.095354
9.545558,6.33878,11.460705
8.723453,5.397203,10.009598
8.723453,4.9037933,9.249184
7.033569,4.665033,8.881219
5.9145927,3.7695858,7.5012054
5.1838317,3.260242,6.7162333
5.9831014,2.807858,6.019044
4.2932177,2.714677,5.8754387
2.3292987,1.8779205,4.585876
1.6442109,0.70190775,2.7734704
1.0047956,0.21406406,2.0216327
1.118977,-0.09745859,1.5415313
2.3064625,-0.10678675,1.5271553
5.960265,0.13685131,1.9026368
15.026262,3.6917481,7.3812466
13.222197,6.907929,12.337845
12.856816,6.325387,11.440063
13.7702675,6.8155794,12.195522
12.331583,7.343318,13.008842
10.002284,6.3952484,11.547731
8.723453,5.4698386,10.12154
8.243892,5.0771184,9.516302
7.0107327,4.522817,8.662044
6.5768437,3.7086902,7.4073563
5.7775745,3.3952692,6.9243293
6.0059376,2.9676456,6.2653
4.590089,2.9297748,6.2069354
2.854533,2.1720905,5.039234
1.6213747,1.1056875,3.3957534
0.959123,0.26489246,2.0999665
1.118977,-0.07556649,1.5752702
2.5804977,-0.12237749,1.5031277
6.120118,0.11798127,1.8735553
15.437314,3.5397503,7.146996
13.838776,7.121935,12.66766
12.765471,6.551258,11.788164
14.295502,6.7777867,12.137278
12.171728,7.5987005,13.402424
10.20781,6.391161,11.541431
8.67778,5.5394034,10.22875
8.951816,5.0701075,9.505497
7.3076043,4.7708745,9.044336
6.3713174,3.8451052,7.617592
5.8689194,3.4239151,6.9684772
6.828043,3.0594623,6.4068027
5.3208494,3.2972183,6.773219
3.4254396,2.5171478,5.5710173
1.8497374,1.6987187,4.3097
1.2559946,0.5574924,2.5509052
1.5071933,-0.021937622,1.65792
2.4206438,-0.0836949,1.5627432
6.0516095,-0.0039224536,1.685684
14.089974,3.2139425,6.644879
13.564741,6.688396,11.999514
14.386847,6.4981217,11.706274
12.879654,7.336247,12.997946
10.527518,6.986286,12.458605
9.499886,6.012182,10.957371
9.020325,5.353388,9.942074
8.769126,4.8786263,9.210398
8.472254,4.465148,8.573168
7.0107327,4.3400044,8.380302
7.284768,3.8620389,7.643689
6.142955,3.7226434,7.42886
4.2932177,3.2071671,6.634437
2.7175155,2.2728608,5.194536
1.6670473,1.1982883,3.5384645
1.4386846,0.32093647,2.1863384
1.7583922,-0.05991472,1.5993918
3.1285682,-0.09307743,1.5482833
6.0059376,0.43289584,2.358884
7.8100023,3.3959272,6.9253435
9.6597395,4.2323413,8.214378
11.92053,5.1030364,9.556246
11.715004,5.9288015,10.828869
11.852021,5.7573996,10.564714
12.148891,6.0026293,10.942648
11.783513,6.264344,11.345989
13.998629,6.0504932,11.016413
13.062343,6.663042,11.96044
12.28591,6.5552135,11.79426
12.148891,6.498739,11.707224
11.6008215,6.5164957,11.734591
10.527518,6.1372533,11.150124
8.5636,5.5299697,10.2142105
7.832838,4.859032,9.1802
8.609272,4.3904877,8.458105
7.421786,4.3572206,8.406836
5.275177,3.8152158,7.571528
2.8088605,2.9732883,6.273996
1.8725736,1.7587194,4.40217
1.4158484,0.51023006,2.4780674
1.1874857,-0.049174856,1.6159436
1.6442109,-0.14732404,1.4646814
3.197077,-0.049043376,1.6161461
4.019182,0.89087176,3.064691
4.749943,2.4222353,5.4247437
6.668189,2.9696624,6.268408
9.636903,3.8064103,7.557957
11.258278,4.721696,8.968544
11.166933,5.251693,9.785347
10.778717,5.554566,10.252117
11.532313,5.749865,10.5531025
11.943366,5.9989476,10.936974
11.806349,5.946433,10.856041
10.733044,5.8459544,10.701189
9.705412,5.6680493,10.4270115
8.4950905,5.344255,9.927998
7.832838,4.705467,8.943534
9.134505,4.2237706,8.20117
9.362868,4.5116434,8.644823
6.0744457,4.6011224,8.782723
