Ground truth,Model Predictions
5.8004107,0.20525783
12.28591,3.6166098
12.240236,5.8761153
12.491436,6.0654707
10.75588,6.573986
9.773921,5.9628115
8.746289,5.4950743
9.317195,4.8367805
8.038364,4.775504
6.942224,4.1926446
5.823247,3.7999659
5.366522,3.2552989
4.1562,2.73086
2.4663165,1.9024651
1.4843572,0.75447154
1.0504681,0.10707376
1.2331582,-0.11939871
2.3064625,-0.112999395
5.526376,0.10724926
15.414479,3.3093479
15.231787,7.0359263
12.537109,6.9831405
11.235442,6.594066
13.108015,6.733406
11.852021,6.724447
10.527518,5.788784
9.522722,5.5104704
9.271524,5.361528
8.974651,4.9496136
8.403745,4.577945
6.805207,4.3349304
5.4807034,3.7750356
4.6585975,3.1381645
3.0372229,2.4299743
1.9867549,1.1898782
1.3245033,0.34985632
1.2103219,-0.04845777
1.4615208,-0.13703172
2.5348253,-0.057373364
5.549212,0.42699492
6.622516,3.4398541
8.3124,3.733153
11.098424,4.56391
11.737839,5.5483212
11.212605,5.6455774
11.212605,5.652185
11.532313,5.955726
11.646494,5.9890933
11.6008215,5.7933316
11.235442,5.8410587
11.692166,5.846612
12.080383,6.0333
9.865266,6.120951
7.832838,5.3464985
6.394154,4.588785
6.0059376,3.844852
5.3893585,3.1722827
3.4482758,2.5602143
2.1237726,1.64013
1.3930122,0.58469236
1.0276319,-0.034020796
0.9362868,-0.15041235
1.4386846,-0.08095276
2.7403517,0.04761559
3.4026034,0.8857268
4.2475452,1.8834342
5.9145927,2.8499606
8.632108,3.5243092
8.814798,4.3534384
9.705412,4.3729534
9.545558,4.891934
10.20781,5.03517
10.344827,5.2436895
9.751084,5.2724323
9.248687,5.078368
8.632108,4.8874707
7.4902945,4.6259027
6.96506,4.070342
6.0744457,3.7152004
5.092487,3.2549314
3.7679834,2.661684
2.2836263,1.8520567
1.7127198,0.6536621
0.959123,0.06005741
1.0504681,-0.13194613
1.8954098,-0.11037791
5.092487,0.05018274
15.665676,2.9028807
14.957752,7.0196643
11.623658,6.825921
10.984242,6.2803974
12.194564,6.6750994
11.12126,6.3276806
9.796757,5.4225516
8.540763,5.147595
8.928979,4.9060297
7.8100023,4.662349
6.325645,4.040086
5.001142,3.4074678
4.590089,2.851355
3.6309662,2.3513312
2.0552638,1.391052
1.1874857,0.3554095
0.82210547,-0.046988964
0.959123,-0.15195791
2.169445,-0.09096991
5.6633935,0.18743859
12.445764,3.5286674
12.148891,5.9028215
12.194564,6.013643
11.418132,6.4923196
9.614067,6.2073483
8.746289,5.414841
9.271524,4.846861
7.718657,4.803112
6.645353,4.0831356
5.2523403,3.6387787
4.498744,2.9996507
3.4482758,2.2515333
1.9639187,1.303988
1.1874857,0.33836222
0.8449418,-0.059026945
0.959123,-0.15792437
2.169445,-0.09415892
5.5720487,0.20411354
15.688513,3.4788089
12.9938345,7.104091
12.28591,6.1389956
13.039507,6.6598315
10.641699,7.140739
9.203014,5.7806916
8.449418,5.028561
8.791962,4.7472005
7.76433,4.528336
6.850879,3.9524102
5.594885,3.694526
5.298013,3.0316045
4.2018723,2.708397
2.6718428,1.8892922
1.8954098,0.82459927
1.2331582,0.27324086
1.1646494,-0.080382906
0.959123,-0.116477445
5.709066,-0.059653997
15.597168,3.1669798
14.752227,6.9171987
12.9938345,6.770169
11.349623,6.898496
13.1536875,6.768704
13.313541,6.681298
9.956612,6.220864
9.773921,5.454376
9.431377,5.5133953
8.4950905,5.0801067
7.513131,4.372817
6.0744457,3.953003
5.6633935,3.5056708
4.4530716,2.9815671
2.854533,2.153034
1.6213747,0.9953371
1.0961407,0.20626384
1.2788308,-0.082487956
2.489153,-0.13236375
5.6862297,0.11902769
15.52866,3.2141712
15.368806,7.1149635
12.171728,7.0533576
12.765471,6.4677773
14.021465,7.2688
12.377255,6.989744
9.773921,6.049147
9.340033,5.5015383
9.020325,5.367997
8.791962,4.73485
8.084037,4.4007335
6.4169903,4.1894827
6.5540075,3.632263
5.366522,3.4596806
3.3569307,2.7217188
2.1009362,1.5866853
1.3701758,0.57902384
0.8449418,-0.0036549002
1.0504681,-0.17524925
2.489153,-0.13193455
5.1838317,0.26119053
6.2571363,3.1384628
8.084037,3.6515532
11.212605,4.5297537
11.395295,5.6374965
11.737839,5.4942813
12.331583,5.7999988
12.240236,6.3054633
11.692166,6.249671
11.577986,5.9853334
11.532313,5.9883657
11.509477,5.9340124
11.532313,5.887397
9.979447,5.9331083
7.9698553,5.395569
6.485499,4.5837445
6.0059376,3.8262768
5.435031,3.2200694
3.5167844,2.642329
2.169445,1.6616372
1.3473396,0.6029457
1.0733044,-0.02935029
0.98195934,-0.150191
1.4386846,-0.08409246
2.7860243,0.022757653
3.471112,0.9151833
4.224709,1.9821616
6.0516095,2.8298042
8.517927,3.5779822
8.791962,4.310064
9.910939,4.365793
9.59123,4.9615865
10.481844,5.043796
10.641699,5.3446293
9.477049,5.4116983
8.5636,5.020617
7.901347,4.68144
6.828043,4.33516
6.5540075,3.6936977
5.7775745,3.3995726
4.8869605,3.0139897
3.5396206,2.4842594
2.0552638,1.6528138
1.5985385,0.48288313
0.959123,-0.011029377
1.118977,-0.12730503
2.0324275,-0.08099594
5.5035396,0.15808392
11.18977,3.3696084
11.166933,5.373047
11.6008215,5.645175
11.212605,6.2129397
9.568395,5.970326
8.449418,5.2847404
8.769126,4.74009
7.3989496,4.654095
5.9145927,3.9260333
4.8184514,3.286685
4.52158,2.7042646
3.562457,2.146087
1.9867549,1.2731726
13.222197,0.31588277
5.846083,6.0209527
11.166933,2.973159
15.231787,5.978083
15.437314,7.634777
11.989038,7.028428
11.349623,6.342074
13.267869,6.8594537
11.098424,6.694546
9.248687,5.555292
8.654943,5.1792817
8.746289,4.9317956
7.3304405,4.6087713
6.439827,3.749358
5.2523403,3.4737978
4.8412876,2.9133186
3.6994748,2.4089115
2.1237726,1.4995713
1.301667,0.4292853
0.867778,-0.024172649
0.98195934,-0.14579904
2.1922815,-0.100523666
5.8004107,0.1738194
12.514273,3.6187987
11.532313,5.910077
12.194564,5.790403
11.281115,6.514357
9.728248,6.1028533
8.586435,5.3882914
8.791962,4.7929244
7.467458,4.672069
6.394154,3.95163
5.4121947,3.4804354
4.864124,2.9659977
3.5396206,2.395384
2.2151177,1.4627854
1.2559946,0.46595478
0.8906143,-0.03468553
0.98195934,-0.1472935
2.3521352,-0.09434776
6.0059376,0.22419661
15.7113495,3.710317
12.491436,7.1415167
11.646494,5.9924192
13.267869,6.4684725
11.30395,7.135083
9.819593,5.876109
8.654943,5.194136
9.454213,4.9519024
8.586435,4.872466
6.462662,4.2931495
5.7547383,3.6609445
5.366522,3.1946137
4.1333637,2.789564
2.3978076,1.7964828
1.5300295,0.6350211
1.2103219,0.13896802
1.1418132,-0.11490448
2.3064625,-0.1176157
5.7547383,0.12958999
13.245032,3.4602194
12.308745,6.199853
13.404886,6.0115867
12.354418,6.997598
10.20781,6.621493
9.180178,5.735328
9.157342,5.149188
8.860471,4.9017296
7.9698553,4.4837937
6.645353,4.1533527
5.617721,3.725858
5.023978,3.0535486
3.105732,2.5258539
1.9639187,1.279088
1.2559946,0.40307835
1.0504681,-0.03945147
1.3245033,-0.16315965
2.5576615,-0.08299621
5.549212,0.3863646
6.462662,3.4743638
8.3124,3.6838036
11.326787,4.60136
11.966203,5.633834
11.577986,5.715032
0.0,5.789365
0.0,2.428975
0.0,1.1661448
0.0,0.016338594
0.0,-0.17326453
0.0,-0.32881364
0.0,-0.31577542
0.0,-0.16252187
0.0,-0.14310125
0.0,-0.075869784
0.0,-0.05053991
0.0,-0.008553307
0.0,-0.006449166
2.169445,-0.006449166
1.3473396,0.70863104
1.0733044,0.55221105
0.98195934,0.5782261
1.4386846,0.6183342
2.7860243,0.619313
3.471112,1.2753979
4.224709,2.2768505
6.0516095,2.8576896
8.517927,3.4798088
8.791962,4.2867236
9.910939,4.346352
9.59123,4.9615865
10.481844,5.043796
10.641699,5.3446293
9.477049,5.4116983
8.723453,5.020617
8.632108,4.733833
7.650149,4.5951247
7.9698553,4.047596
6.9878964,4.054321
5.526376,3.6885743
4.019182,3.0426698
2.5576615,2.2077308
1.5985385,0.9814038
0.959123,0.1365871
1.118977,-0.09924198
2.0324275,-0.14310364
5.5035396,-0.011004041
15.208952,3.1023629
11.943366,6.866739
13.039507,5.7507486
11.669331,7.001881
11.737839,6.544184
10.459008,6.05498
8.8833065,5.4140115
9.203014,5.0021367
7.604476,4.845235
6.439827,4.129429
5.092487,3.525595
4.635762,2.783833
3.562457,2.357921
2.0781,1.3616335
1.2103219,0.37590185
0.79926926,-0.05563098
0.959123,-0.14495984
2.3292987,-0.080677174
6.0516095,0.23495992
12.057547,3.7696507
11.6008215,5.764604
11.966203,5.8631816
10.892898,6.3816276
9.636903,5.919224
8.3124,5.3433876
8.472254,4.6774774
7.650149,4.5099545
6.828043,3.9722528
5.3893585,3.6145139
5.3436856,2.9851115
3.5852933,2.677804
2.0781,1.6102014
1.3245033,0.4697694
0.959123,-0.014718789
0.867778,-0.13831826
2.3292987,-0.13074116
5.9145927,0.1684199
11.989038,3.6833103
11.577986,5.700366
11.577986,5.845325
10.892898,6.229168
9.477049,5.9164214
8.380908,5.258594
8.837634,4.6567173
7.6273117,4.619825
6.462662,4.006276
5.366522,3.5170107
4.8184514,2.9806721
3.7451472,2.413238
2.3064625,1.559334
1.3930122,0.51337135
0.867778,-0.012238571
1.0276319,-0.14641841
2.1237726,-0.09682774
5.823247,0.12746345
12.126056,3.5570946
11.806349,5.7685657
12.765471,5.9090166
11.852021,6.7111588
9.751084,6.300561
8.67778,5.488477
8.358072,4.9343667
7.9470196,4.562222
6.919388,4.0614758
5.823247,3.6431828
4.9097967,3.1990602
3.3569307,2.5562265
2.169445,1.4961898
1.2331582,0.43871054
0.8906143,-0.038844544
1.0504681,-0.14242688
2.2836263,-0.11311503
6.0287733,0.19930609
15.802694,3.6698098
15.27746,7.1517925
13.039507,6.9801955
12.445764,6.7826777
12.9938345,7.1643724
11.8291855,6.75798
10.139301,5.9090853
9.180178,5.489602
9.340033,5.183353
8.746289,4.873408
8.221055,4.4817424
6.5768437,4.2411203
6.1886277,3.688397
4.9097967,3.3445592
3.3340945,2.5382373
2.0552638,1.5164485
1.3701758,0.48489997
1.3473396,-0.019882066
1.6442109,-0.13097349
2.763188,-0.05737415
5.6405573,0.5088718
7.216259,3.4645412
9.157342,3.969833
11.737839,4.857816
11.989038,5.815616
12.217401,5.8319926
11.92053,6.0951
12.445764,6.2448254
12.742635,6.35294
12.422928,6.290471
12.788308,6.2773757
12.788308,6.531878
12.559945,6.606462
11.235442,6.485858
9.04316,6.0187006
7.444622,5.172135
6.668189,4.3630004
5.3893585,3.69928
3.8136559,2.8316352
2.1237726,1.8746574
1.3701758,0.638736
1.4615208,-0.023676334
1.7127198,-0.111845784
3.4482758,-0.035447143
3.5852933,0.79114723
4.2932177,2.15047
5.846083,2.8570464
8.243892,3.4274256
8.837634,4.143767
9.773921,4.3079376
10.413336,4.900008
10.6645355,5.3119984
11.258278,5.452306
11.349623,5.686642
11.326787,5.7566667
11.509477,5.7965064
9.22585,5.9089494
9.203014,5.124651
8.472254,4.9772224
6.96506,4.525891
5.1609955,3.7994561
3.2199135,2.9673002
1.8497374,1.8535717
1.2559946,0.48177055
1.3245033,-0.050400656
2.1237726,-0.14135943
5.6405573,-0.029111052
15.688513,2.9295661
14.797899,7.0826664
11.966203,6.7174444
11.440968,6.4761343
12.103219,6.785052
11.166933,6.3012786
9.362868,5.497939
8.289563,5.0521874
8.3124,4.7605157
7.1705866,4.3879704
6.348481,3.7200208
5.298013,3.278453
5.092487,2.8686323
3.6309662,2.5269694
2.26079,1.5364268
1.3473396,0.5007131
0.9362868,-0.015358648
0.91345054,-0.12614195
2.237954,-0.106186464
5.9831014,0.16788283
15.757021,3.6978889
12.331583,7.134095
11.897694,5.9404106
12.28591,6.5794683
11.281115,6.7940235
9.728248,5.8478475
8.42658,5.1074066
8.403745,4.8002563
7.444622,4.498287
6.7138615,3.8757792
5.8004107,3.519503
5.1609955,3.0306578
3.6538022,2.6701107
2.0781,1.6575241
1.3930122,0.48689088
0.91345054,-0.012188184
1.0047956,-0.13752103
2.4206438,-0.11486607
5.960265,0.2046892
15.071934,3.6634402
12.080383,6.873174
11.646494,5.8825502
12.240236,6.437473
11.395295,6.6846085
9.842429,5.8645964
8.12971,5.149693
8.769126,4.7244954
