Ground truth,Model Predictions
20.0,24.37040138244629
10.0,13.957269668579102
8.0,9.059652328491211
3.0,3.881962537765503
0.0,3.6074106693267822
0.0,3.12615966796875
2.0,2.7302746772766113
11.0,11.398445129394531
27.0,20.18483543395996
47.0,32.121334075927734
63.0,47.014774322509766
60.0,59.24048614501953
39.0,48.32588195800781
28.0,29.649402618408203
26.0,18.156936645507812
22.0,19.71920394897461
11.0,15.826025009155273
21.0,7.508925914764404
40.0,38.15559005737305
78.0,58.584022521972656
122.0,89.48917388916016
103.0,113.63768768310547
73.0,81.8282241821289
47.0,52.14799118041992
35.0,31.25075340270996
11.0,16.818950653076172
5.0,8.807443618774414
16.0,14.504390716552734
34.0,49.62773132324219
70.0,66.22431182861328
81.0,82.84429931640625
111.0,77.77436828613281
101.0,99.2379150390625
73.0,73.27439880371094
40.0,46.53201675415039
20.0,22.0211124420166
16.0,14.560749053955078
5.0,5.581668853759766
11.0,12.401922225952148
22.0,31.048648834228516
40.0,43.08030700683594
60.0,54.219608306884766
80.9,56.41173553466797
83.4,75.20556640625
47.7,66.43384552001953
47.8,36.4913444519043
30.7,30.258556365966797
12.2,18.13179588317871
9.6,9.215875625610352
10.2,9.773832321166992
32.4,33.66324996948242
47.6,60.29600143432617
54.0,52.7523078918457
62.9,51.426597595214844
85.9,52.34921646118164
61.2,72.12723541259766
45.1,39.08374786376953
36.4,24.853008270263672
20.9,23.150646209716797
11.4,12.344642639160156
37.8,7.808273792266846
69.8,76.51590728759766
106.1,98.89863586425781
100.8,100.02578735351562
81.6,82.78070831298828
66.5,58.84412384033203
34.8,39.37249755859375
30.6,22.46235466003418
7.0,10.314788818359375
19.8,11.256004333496094
92.5,60.48014831542969
154.4,154.252197265625
125.9,159.1904754638672
84.8,99.82787322998047
68.1,68.22063446044922
38.5,44.08351135253906
22.8,23.61524772644043
10.2,10.503032684326172
24.1,17.739181518554688
82.9,72.60166931152344
132.0,137.22727966308594
130.9,131.80364990234375
118.1,113.68067169189453
89.9,88.83036804199219
66.6,60.64991760253906
60.0,41.62939453125
46.9,41.32953643798828
41.0,33.55497741699219
21.3,30.901010513305664
16.0,12.465448379516602
6.4,11.217367172241211
4.1,7.498245716094971
6.8,8.074546813964844
14.5,14.237449645996094
34.0,30.65891456604004
45.0,44.29750061035156
43.1,44.36015701293945
47.5,36.20039367675781
42.2,36.6731071472168
28.1,27.189367294311523
10.1,14.955123901367188
8.1,7.810380458831787
2.5,3.224498748779297
0.0,3.5373454093933105
1.4,4.780280113220215
5.0,5.0963134765625
12.2,16.529264450073242
13.9,18.198049545288086
35.4,15.088003158569336
45.8,37.994834899902344
41.1,42.863887786865234
30.1,32.614532470703125
23.9,21.46352767944336
15.6,15.669214248657227
6.6,9.173917770385742
4.0,5.5278778076171875
1.8,5.947238922119141
8.5,5.619011402130127
16.6,23.455772399902344
36.3,25.99947738647461
49.6,42.23500061035156
64.2,47.476226806640625
67.0,58.669578552246094
70.9,52.938621520996094
47.8,51.863521575927734
27.5,29.19052505493164
8.5,14.819072723388672
13.2,10.734598159790039
56.9,19.530838012695312
121.5,106.80885314941406
138.3,153.28915405273438
103.2,128.12901306152344
85.7,84.1203384399414
64.6,59.95220184326172
36.7,41.693355560302734
24.2,21.635229110717773
10.7,12.78611946105957
15.0,15.771114349365234
40.1,37.007328033447266
61.5,75.1004409790039
98.5,75.74345397949219
124.7,93.10511016845703
96.3,112.54638671875
66.6,71.00049591064453
64.5,45.526756286621094
54.1,45.63252639770508
39.0,41.045989990234375
20.6,20.083852767944336
6.7,11.528436660766602
4.3,7.450216770172119
22.7,6.029395580291748
54.8,57.78791046142578
93.8,83.93526458740234
95.8,92.88717651367188
77.2,85.47991943359375
59.1,58.93088150024414
44.0,40.034053802490234
47.0,29.58334732055664
30.5,37.914024353027344
16.3,16.964635848999023
7.3,9.281265258789062
37.6,7.073407173156738
74.0,78.86469268798828
139.0,99.81041717529297
111.2,137.69993591308594
101.6,90.27971649169922
66.2,74.23009490966797
44.7,45.376617431640625
17.0,25.909799575805664
11.3,13.028324127197266
12.4,14.08646011352539
3.4,16.485620498657227
6.0,6.478262424468994
32.3,12.090202331542969
54.3,59.03618621826172
59.7,57.31581497192383
63.7,53.96928787231445
63.5,53.53778076171875
52.2,46.649375915527344
25.4,29.396230697631836
13.1,12.920412063598633
6.8,9.04981803894043
6.3,4.364864826202393
7.1,9.029966354370117
35.6,13.723251342773438
73.0,64.74565124511719
85.1,80.68643951416016
78.0,80.34004211425781
64.0,61.72311782836914
41.8,44.380699157714844
26.2,26.170427322387695
26.7,15.336585998535156
12.1,17.408151626586914
9.5,10.805709838867188
2.7,9.140737533569336
5.0,5.8807477951049805
24.4,21.910816192626953
42.0,43.31379699707031
63.5,49.01104736328125
53.8,60.399330139160156
62.0,44.32527542114258
48.5,48.02960205078125
43.9,29.526748657226562
18.6,26.765748977661133
5.7,9.493186950683594
3.6,5.175925254821777
1.4,3.5765206813812256
9.6,8.552297592163086
47.4,27.318925857543945
57.1,76.65308380126953
103.9,57.55998992919922
80.6,97.59919738769531
63.6,65.22679901123047
37.6,43.66707229614258
26.1,23.473356246948242
14.2,14.079385757446289
5.8,7.1860785484313965
16.7,12.530460357666016
44.3,44.15491485595703
