Ground truth,Model Predictions
12.78,12.817096710205078
12.88,12.959239959716797
12.88,13.020538330078125
12.88,13.047298431396484
14.88,13.037504196166992
14.56,15.166450500488281
14.76,14.72653865814209
14.58,15.033323287963867
14.49,14.96579647064209
14.28,14.670324325561523
14.66,14.51519775390625
14.65,14.919103622436523
14.44,14.816438674926758
14.31,14.566575050354004
14.18,14.48310375213623
14.08,14.261613845825195
13.93,14.205252647399902
13.7,14.116410255432129
13.47,13.859260559082031
13.04,13.593757629394531
13.48,13.172101020812988
13.32,13.641193389892578
13.28,13.523123741149902
13.44,13.505223274230957
13.7,13.601546287536621
13.68,13.769340515136719
14.76,13.814702987670898
14.29,15.010091781616211
14.31,14.4253511428833
13.98,14.429073333740234
14.69,14.187915802001953
14.8,14.782587051391602
14.87,14.985828399658203
14.7,15.086057662963867
14.47,14.891607284545898
14.38,14.528817176818848
14.66,14.504159927368164
14.08,14.836333274841309
13.81,14.25644588470459
13.1,13.961880683898926
13.38,13.195226669311523
13.33,13.46489429473877
13.36,13.596456527709961
13.98,13.752455711364746
13.88,14.265768051147461
13.65,13.92609977722168
13.6,13.74834156036377
13.56,13.779566764831543
13.92,13.661706924438477
14.3,14.077587127685547
14.09,14.530035972595215
14.47,14.246580123901367
13.8,14.62610912322998
13.58,13.907506942749023
13.28,13.679936408996582
13.13,13.427373886108398
13.2,13.239936828613281
13.09,13.43192195892334
13.18,13.360733032226562
13.04,13.377110481262207
13.08,13.154802322387695
13.11,13.189064025878906
13.1,13.241552352905273
13.1,13.237735748291016
12.93,13.257776260375977
13.06,13.065559387207031
13.2,13.191930770874023
13.2,13.338838577270508
13.32,13.354989051818848
13.24,13.504358291625977
13.12,13.381719589233398
13.4,13.246033668518066
13.44,13.568382263183594
13.44,13.588334083557129
13.44,13.606667518615723
13.38,13.62409782409668
13.88,13.499055862426758
13.66,14.03277587890625
13.67,13.821771621704102
13.74,13.843774795532227
13.78,13.908817291259766
13.8,13.874914169311523
13.66,13.974349021911621
13.7,13.840723037719727
13.68,13.836042404174805
14.22,13.80093765258789
14.18,14.392627716064453
14.1,14.34249496459961
14.13,14.247777938842773
14.3,14.294015884399414
14.35,14.405115127563477
14.33,14.508726119995117
14.14,14.5282564163208
14.44,14.298198699951172
14.25,14.568267822265625
14.04,14.386385917663574
14.0,14.201330184936523
13.98,14.164772987365723
13.95,14.073837280273438
13.86,14.102715492248535
13.78,14.045421600341797
13.78,13.914464950561523
13.78,13.892492294311523
13.92,13.919581413269043
14.03,14.080211639404297
14.0,14.186158180236816
13.87,14.143877983093262
14.2,14.016681671142578
14.1,14.351760864257812
14.74,14.232647895812988
14.52,14.931168556213379
14.52,14.688227653503418
14.28,14.630160331726074
14.09,14.443098068237305
14.98,14.185847282409668
15.3,15.182661056518555
14.87,15.478411674499512
14.8,15.033584594726562
14.8,14.988519668579102
14.6,14.863946914672852
14.7,14.676513671875
15.13,14.951725959777832
16.85,15.33751392364502
17.16,17.070859909057617
16.639999,17.245391845703125
15.9,16.699003219604492
16.0,16.038225173950195
16.08,16.01416015625
16.18,16.13404655456543
15.84,16.44522476196289
16.4,16.095619201660156
16.15,16.515708923339844
16.52,16.236230850219727
16.200001,16.70537567138672
16.440001000000002,16.416147232055664
16.42,16.555055618286133
16.25,16.587141036987305
16.290001,16.392616271972656
16.139999,16.488088607788086
16.969998999999998,16.27353286743164
16.93,17.16853141784668
16.440001000000002,17.110671997070312
16.290001,16.601072311401367
16.360001,16.461706161499023
16.48,16.415929794311523
16.4,16.62152671813965
16.690001000000002,16.6578369140625
17.58,16.905776977539062
17.780001000000002,17.740644454956055
17.700001,17.903823852539062
17.49,17.852140426635742
18.790001,17.615468978881836
18.709999,18.852937698364258
18.1,18.743505477905273
18.16,18.23330307006836
18.4,18.330825805664062
18.16,18.357934951782227
18.48,18.26396369934082
18.389999,18.79109764099121
18.959999,18.57017707824707
18.5,19.07408905029297
18.549999,18.675931930541992
19.59,18.70378303527832
20.950001,19.780094146728516
20.42,21.06746482849121
20.5,20.513273239135742
20.4,20.591581344604492
20.6,20.336000442504883
20.58,20.463165283203125
20.799999,20.73366355895996
20.700001,20.982980728149414
20.57,20.822690963745117
20.1,20.679126739501953
19.5,20.246545791625977
19.5,19.585460662841797
20.0,19.61890411376953
20.200001,20.218412399291992
20.299999,20.447786331176758
19.9,20.574453353881836
19.9,20.06949806213379
19.4,19.98273277282715
19.0,19.49838638305664
19.5,19.130390167236328
20.4,19.703962326049805
20.0,20.610883712768555
21.4,20.214710235595703
21.799999,21.70726776123047
21.200001,21.852170944213867
21.4,21.09040641784668
21.299999,21.51220703125
21.58,21.253398895263672
21.379998999999998,21.556398391723633
21.379998999999998,21.583816528320312
21.360001,21.564176559448242
20.879998999999998,21.4840030670166
21.6,20.997167587280273
20.799999,21.839658737182617
20.6,20.947195053100586
19.57,20.7315731048584
18.700001,19.666208267211914
18.940001000000002,18.7330379486084
